ZIPCODE,AV_BLDG
2090.0,414000.0
2108.0,1597950.4001059884
2109.0,2031703.2839650146
2110.0,4029240.132817537
2111.0,1853090.0255591054
2113.0,408825.0750347383
2114.0,1359427.6719197708
2115.0,1714668.6032654792
2116.0,1468313.1823585355
2118.0,666321.4828395424
2119.0,295396.0483373329
2120.0,595340.4672
2121.0,252672.95395992367
2122.0,222327.50560055143
2124.0,236309.08538404177
2125.0,306362.641324428
2126.0,193255.77917355372
2127.0,346805.9358587651
2128.0,279103.1091001139
2129.0,485811.7047947352
2130.0,335252.8081956252
2131.0,223042.44963292815
2132.0,226055.4869385454
2133.0,78081700.0
2134.0,458402.81832946633
2135.0,424639.87880454713
2136.0,198881.6020381154
2137.0,334100.0
2199.0,14608015.0
2210.0,2976960.335597826
2215.0,1189633.5722304285
2445.0,625999.1538461539
2446.0,260322.72727272726
2467.0,313539.1061946903
