ZIP_CODE,TOTAL_VALUE
2026.0,482750.0
2108.0,3515321.305709024
2109.0,3917270.1212777477
2110.0,6278642.355448332
2111.0,3257750.0051849294
2113.0,951536.8137462876
2114.0,3102280.3008221225
2115.0,4415471.113734679
2116.0,3098000.645662763
2118.0,1513731.9574808185
2119.0,912542.199901202
2120.0,1847108.222103577
2121.0,733260.1110595873
2122.0,702638.9838043824
2124.0,801673.2385832435
2125.0,982731.1843625626
2126.0,650559.7699424342
2127.0,1095409.6957715892
2128.0,937519.1542371225
2129.0,1250041.5375172414
2130.0,911104.3782293895
2131.0,661126.9116664871
2132.0,750706.2436386768
2133.0,177992700.0
2134.0,1349116.211883408
2135.0,1107473.9522866106
2136.0,636289.5289382072
2137.0,7239400.0
2199.0,21506091.666666668
2201.0,27416200.0
2210.0,6788937.162757974
2215.0,3356300.0783776375
2219.0,2563500.0
2445.0,1804569.2307692308
2446.0,784118.1818181818
2458.0,679900.0
2467.0,613984.5624385447
