zip,CHANGE_IN_VALUE
2108.0,1064889.7103912493
2109.0,920349.564437801
2110.0,989267.8683887352
2111.0,733950.2475138295
2113.0,307075.1324323809
2114.0,1064571.6296497358
2115.0,1768373.6773761935
2116.0,1026635.2767563986
2118.0,553685.7438228615
2119.0,343914.1803799403
2120.0,697814.5231897492
2121.0,247620.905998342
2122.0,289286.99233530124
2124.0,294997.2491179359
2125.0,389576.66924175504
2126.0,240980.1803248016
2127.0,493781.4675648425
2128.0,339542.7652034732
2129.0,500857.7994811268
2130.0,353850.7999169304
2131.0,238553.0245672227
2132.0,257980.77233081122
2133.0,28176600.0
2134.0,486170.19557187887
2135.0,378891.65248156816
2136.0,189122.6200027898
2137.0,5027350.0
2199.0,1802423.888888888
2210.0,2169596.4491113666
2215.0,1264338.6012417558
2445.0,683354.6923076924
2446.0,286077.2727272727
2467.0,250532.87020648964
