zip,ratio
2108.0,0.0006528793228685953
2109.0,0.0003183030984349223
2110.0,0.0001731131861944388
2111.0,0.000264209825242767
2113.0,0.0009935435692910134
2114.0,0.00010154980486908833
2115.0,0.00018509332892714108
2116.0,0.00011181965907839195
2118.0,7.163440949796586e-05
2119.0,0.00015774014693344064
2120.0,0.0005984044730955859
2121.0,0.0005232834549551433
2122.0,0.00010514955231267198
2124.0,0.0002670714530023444
2125.0,0.00017487291801155752
2126.0,0.0003599975983393124
2127.0,0.0001104214925920377
2128.0,7.304814185526871e-05
2129.0,0.00016763123917468029
2130.0,0.00014900130899852084
2131.0,0.00023383379376322962
2132.0,0.00025165415055346274
2133.0,91.32273933033497
2134.0,0.00011278373557683965
2135.0,8.475178344803278e-05
2136.0,0.00025046256490322106
2137.0,6.673354109855863
2199.0,0.0014755598967533922
2210.0,0.00011913113845975345
2215.0,0.00013732019421842023
2446.0,56.19545454545454
2467.0,0.0005375753344759959
